pathway.id	pathway.name	source	dest	subtype
hsa01521	EGFR tyrosine kinase inhibitor resistance	ERBB3	JAK1	activation
hsa01521	EGFR tyrosine kinase inhibitor resistance	ERBB3	JAK2	activation
hsa01521	EGFR tyrosine kinase inhibitor resistance	ERBB3	SRC	activation
hsa01521	EGFR tyrosine kinase inhibitor resistance	ERBB3	GAB1	activation
hsa01521	EGFR tyrosine kinase inhibitor resistance	ERBB3	PLCG1	activation
hsa01521	EGFR tyrosine kinase inhibitor resistance	ERBB3	PLCG2	activation
hsa01521	EGFR tyrosine kinase inhibitor resistance	ERBB3	SHC2	activation
hsa01521	EGFR tyrosine kinase inhibitor resistance	ERBB3	SHC4	activation
hsa01521	EGFR tyrosine kinase inhibitor resistance	ERBB3	SHC3	activation
hsa01521	EGFR tyrosine kinase inhibitor resistance	ERBB3	SHC1	activation
hsa01521	EGFR tyrosine kinase inhibitor resistance	ERBB2	JAK1	activation
hsa01521	EGFR tyrosine kinase inhibitor resistance	ERBB2	JAK2	activation
hsa01521	EGFR tyrosine kinase inhibitor resistance	ERBB2	SRC	activation
hsa01521	EGFR tyrosine kinase inhibitor resistance	ERBB2	GAB1	activation
hsa01521	EGFR tyrosine kinase inhibitor resistance	ERBB2	PLCG1	activation
hsa01521	EGFR tyrosine kinase inhibitor resistance	ERBB2	PLCG2	activation
hsa01521	EGFR tyrosine kinase inhibitor resistance	ERBB2	SHC2	activation
hsa01521	EGFR tyrosine kinase inhibitor resistance	ERBB2	SHC4	activation
hsa01521	EGFR tyrosine kinase inhibitor resistance	ERBB2	SHC3	activation
hsa01521	EGFR tyrosine kinase inhibitor resistance	ERBB2	SHC1	activation
hsa01521	EGFR tyrosine kinase inhibitor resistance	EGFR	JAK1	activation
hsa01521	EGFR tyrosine kinase inhibitor resistance	EGFR	JAK2	activation
hsa01521	EGFR tyrosine kinase inhibitor resistance	EGFR	SRC	activation
hsa01521	EGFR tyrosine kinase inhibitor resistance	EGFR	GAB1	activation
hsa01521	EGFR tyrosine kinase inhibitor resistance	EGFR	PLCG1	activation
hsa01521	EGFR tyrosine kinase inhibitor resistance	EGFR	PLCG2	activation
hsa01521	EGFR tyrosine kinase inhibitor resistance	EGFR	SHC2	activation
hsa01521	EGFR tyrosine kinase inhibitor resistance	EGFR	SHC4	activation
hsa01521	EGFR tyrosine kinase inhibitor resistance	EGFR	SHC3	activation
hsa01521	EGFR tyrosine kinase inhibitor resistance	EGFR	SHC1	activation
hsa01521	EGFR tyrosine kinase inhibitor resistance	EIF4EBP1	EIF4E	inhibition
hsa01521	EGFR tyrosine kinase inhibitor resistance	EIF4EBP1	EIF4E1B	inhibition
hsa01521	EGFR tyrosine kinase inhibitor resistance	EIF4EBP1	EIF4E2	inhibition
hsa01521	EGFR tyrosine kinase inhibitor resistance	RPS6KB1	RPS6	activation
hsa01521	EGFR tyrosine kinase inhibitor resistance	RPS6KB2	RPS6	activation
