GPER1	GNAS	activation
SRC	MMP2	activation
SRC	MMP9	activation
SRC	ESR1	activation
SRC	ESR2	activation
SRC	CARM1	activation
SRC	MED1	activation
SRC	NCOA3	activation
SRC	FOS	activation
SRC	JUN	activation
SRC	SP1	activation
MMP2	HBEGF	activation
MMP9	HBEGF	activation
HBEGF	HBEGF	activation
HBEGF	EGFR	activation
EGFR	SHC2	activation
EGFR	SHC4	activation
EGFR	SHC3	activation
EGFR	SHC1	activation
EGFR	PIK3CA	activation
EGFR	PIK3CB	activation
EGFR	PIK3CD	activation
EGFR	PIK3R1	activation
EGFR	PIK3R2	activation
EGFR	PIK3R3	activation
PRKACA	ARAF	inhibition
PRKACA	RAF1	inhibition
PRKACA	BRAF	inhibition
PRKACA	ESR1	activation
PRKACA	ESR2	activation
PRKACA	CARM1	activation
PRKACA	MED1	activation
PRKACA	NCOA3	activation
PRKACA	FOS	activation
PRKACA	JUN	activation
PRKACA	SP1	activation
PRKACA	RPS6KB1	activation
PRKACA	RPS6KB2	activation
PRKACB	ARAF	inhibition
PRKACB	RAF1	inhibition
PRKACB	BRAF	inhibition
PRKACB	ESR1	activation
PRKACB	ESR2	activation
PRKACB	CARM1	activation
PRKACB	MED1	activation
PRKACB	NCOA3	activation
PRKACB	FOS	activation
PRKACB	JUN	activation
PRKACB	SP1	activation
PRKACB	RPS6KB1	activation
PRKACB	RPS6KB2	activation
PRKACG	ARAF	inhibition
PRKACG	RAF1	inhibition
PRKACG	BRAF	inhibition
PRKACG	ESR1	activation
PRKACG	ESR2	activation
PRKACG	CARM1	activation
PRKACG	MED1	activation
PRKACG	NCOA3	activation
PRKACG	FOS	activation
PRKACG	JUN	activation
PRKACG	SP1	activation
PRKACG	RPS6KB1	activation
PRKACG	RPS6KB2	activation
HRAS	ARAF	activation
HRAS	RAF1	activation
HRAS	BRAF	activation
KRAS	ARAF	activation
KRAS	RAF1	activation
KRAS	BRAF	activation
NRAS	ARAF	activation
NRAS	RAF1	activation
NRAS	BRAF	activation
ARAF	MAP2K1	activation
ARAF	MAP2K2	activation
RAF1	MAP2K1	activation
RAF1	MAP2K2	activation
BRAF	MAP2K1	activation
BRAF	MAP2K2	activation
MAP2K1	MAPK1	activation
MAP2K1	MAPK3	activation
MAP2K2	MAPK1	activation
MAP2K2	MAPK3	activation
MAPK1	JUN	activation
MAPK1	FOS	activation
MAPK3	JUN	activation
MAPK3	FOS	activation
SHC2	GRB2	activation
SHC4	GRB2	activation
SHC3	GRB2	activation
SHC1	GRB2	activation
GRB2	SOS1	activation
GRB2	SOS2	activation
SOS1	HRAS	activation
SOS1	KRAS	activation
SOS1	NRAS	activation
SOS2	HRAS	activation
SOS2	KRAS	activation
SOS2	NRAS	activation
GNAS	SRC	activation
GNAS	ADCY1	activation
GNAS	ADCY2	activation
GNAS	ADCY3	activation
GNAS	ADCY5	activation
GNAS	ADCY6	activation
GNAS	ADCY7	activation
GNAS	ADCY8	activation
GNAS	ADCY9	activation
GNAS	ADCY4	activation
PIK3CA	AKT3	activation
PIK3CA	AKT1	activation
PIK3CA	AKT2	activation
PIK3CB	AKT3	activation
PIK3CB	AKT1	activation
PIK3CB	AKT2	activation
PIK3CD	AKT3	activation
