F2	F2R	activation
WASF2	ARPC5	activation
WASF2	ARPC4	activation
WASF2	ARPC3	activation
WASF2	ARPC1B	activation
WASF2	ARPC2	activation
WASF2	ARPC1A	activation
WASF2	ARPC5L	activation
WASF1	ARPC5	activation
WASF1	ARPC4	activation
WASF1	ARPC3	activation
WASF1	ARPC1B	activation
WASF1	ARPC2	activation
WASF1	ARPC1A	activation
WASF1	ARPC5L	activation
BRK1	ARPC5	activation
BRK1	ARPC4	activation
BRK1	ARPC3	activation
BRK1	ARPC1B	activation
BRK1	ARPC2	activation
BRK1	ARPC1A	activation
BRK1	ARPC5L	activation
APC2	SPATA13	activation
APC2	ARHGEF4	activation
APC	SPATA13	activation
APC	ARHGEF4	activation
WASL	ARPC5	activation
WASL	ARPC4	activation
WASL	ARPC3	activation
WASL	ARPC1B	activation
WASL	ARPC2	activation
WASL	ARPC1A	activation
WASL	ARPC5L	activation
SPATA13	RAC1	activation
SPATA13	RAC2	activation
SPATA13	RAC3	activation
ARHGEF4	RAC1	activation
ARHGEF4	RAC2	activation
ARHGEF4	RAC3	activation
ABI2	WASF1	inhibition
ABI2	BRK1	inhibition
NCKAP1	WASF1	inhibition
NCKAP1	BRK1	inhibition
NCKAP1L	WASF1	inhibition
NCKAP1L	BRK1	inhibition
CYFIP1	WASF1	inhibition
CYFIP1	BRK1	inhibition
CYFIP2	WASF1	inhibition
CYFIP2	BRK1	inhibition
BAIAP2	ENAH	activation
BAIAP2	WASF2	activation
LIMK1	CFL1	inhibition
LIMK1	CFL2	inhibition
LIMK2	CFL1	inhibition
LIMK2	CFL2	inhibition
PIKFYVE	GSN	inhibition
PIKFYVE	SCIN	inhibition
PIP5K1C	GSN	inhibition
PIP5K1C	SCIN	inhibition
PIP4K2A	GSN	inhibition
PIP4K2A	SCIN	inhibition
PIP4K2C	GSN	inhibition
PIP4K2C	SCIN	inhibition
PIP5K1A	GSN	inhibition
PIP5K1A	SCIN	inhibition
PIP5K1B	GSN	inhibition
PIP5K1B	SCIN	inhibition
PIP4K2B	GSN	inhibition
PIP4K2B	SCIN	inhibition
DIAPH1	PFN3	activation
DIAPH1	PFN4	activation
DIAPH1	PFN1	activation
DIAPH1	PFN2	activation
DIAPH2	PFN3	activation
DIAPH2	PFN4	activation
DIAPH2	PFN1	activation
DIAPH2	PFN2	activation
SLC9A1	MSN	activation
SLC9A1	RDX	activation
SLC9A1	EZR	activation
PPP1R12A	MYL12B	inhibition
PPP1R12A	MYL9	inhibition
PPP1R12A	MYL12A	inhibition
PPP1R12A	MYLPF	inhibition
PPP1R12A	MYL2	inhibition
PPP1R12A	MYL5	inhibition
PPP1R12A	MYL7	inhibition
PPP1R12A	MYL10	inhibition
PPP1R12B	MYL12B	inhibition
PPP1R12B	MYL9	inhibition
PPP1R12B	MYL12A	inhibition
PPP1R12B	MYLPF	inhibition
PPP1R12B	MYL2	inhibition
PPP1R12B	MYL5	inhibition
PPP1R12B	MYL7	inhibition
PPP1R12B	MYL10	inhibition
PPP1R12C	MYL12B	inhibition
PPP1R12C	MYL9	inhibition
PPP1R12C	MYL12A	inhibition
PPP1R12C	MYLPF	inhibition
PPP1R12C	MYL2	inhibition
PPP1R12C	MYL5	inhibition
PPP1R12C	MYL7	inhibition
PPP1R12C	MYL10	inhibition
PPP1CA	MYL12B	inhibition
PPP1CA	MYL9	inhibition
PPP1CA	MYL12A	inhibition
PPP1CA	MYLPF	inhibition
PPP1CA	MYL2	inhibition
PPP1CA	MYL5	inhibition
PPP1CA	MYL7	inhibition
PPP1CA	MYL10	inhibition
PPP1CB	MYL12B	inhibition
PPP1CB	MYL9	inhibition
PPP1CB	MYL12A	inhibition
PPP1CB	MYLPF	inhibition
PPP1CB	MYL2	inhibition
PPP1CB	MYL5	inhibition
PPP1CB	MYL7	inhibition
PPP1CB	MYL10	inhibition
PPP1CC	MYL12B	inhibition
PPP1CC	MYL9	inhibition
PPP1CC	MYL12A	inhibition
PPP1CC	MYLPF	inhibition
PPP1CC	MYL2	inhibition
PPP1CC	MYL5	inhibition
PPP1CC	MYL7	inhibition
PPP1CC	MYL10	inhibition
GIT1	PXN	inhibition
DIAPH3	BAIAP2	activation
ROCK1	MYL12B	activation
ROCK1	MYL9	activation
ROCK1	MYL12A	activation
ROCK1	MYLPF	activation
ROCK1	MYL2	activation
ROCK1	MYL5	activation
ROCK1	MYL7	activation
ROCK1	MYL10	activation
ROCK1	PPP1R12A	inhibition
ROCK1	PPP1R12B	inhibition
ROCK1	PPP1R12C	inhibition
ROCK1	PPP1CA	inhibition
ROCK1	PPP1CB	inhibition
ROCK1	PPP1CC	inhibition
ROCK2	MYL12B	activation
ROCK2	MYL9	activation
ROCK2	MYL12A	activation
ROCK2	MYLPF	activation
ROCK2	MYL2	activation
ROCK2	MYL5	activation
ROCK2	MYL7	activation
ROCK2	MYL10	activation
ROCK2	PPP1R12A	inhibition
ROCK2	PPP1R12B	inhibition
ROCK2	PPP1R12C	inhibition
ROCK2	PPP1CA	inhibition
ROCK2	PPP1CB	inhibition
ROCK2	PPP1CC	inhibition
PAK4	MYLK4	inhibition
PAK4	MYLK	inhibition
PAK4	MYLK2	inhibition
PAK4	MYLK3	inhibition
BUB1B-PAK6	MYLK4	inhibition
BUB1B-PAK6	MYLK	inhibition
BUB1B-PAK6	MYLK2	inhibition
BUB1B-PAK6	MYLK3	inhibition
PAK1	MYLK4	inhibition
PAK1	MYLK	inhibition
PAK1	MYLK2	inhibition
PAK1	MYLK3	inhibition
PAK2	MYLK4	inhibition
PAK2	MYLK	inhibition
PAK2	MYLK2	inhibition
PAK2	MYLK3	inhibition
PAK3	MYLK4	inhibition
PAK3	MYLK	inhibition
PAK3	MYLK2	inhibition
PAK3	MYLK3	inhibition
PAK6	MYLK4	inhibition
PAK6	MYLK	inhibition
PAK6	MYLK2	inhibition
PAK6	MYLK3	inhibition
PAK5	MYLK4	inhibition
PAK5	MYLK	inhibition
PAK5	MYLK2	inhibition
PAK5	MYLK3	inhibition
ARHGEF7	GIT1	activation
ARHGEF7	ARHGEF12	inhibition
ARHGEF7	ARHGEF1	inhibition
ARHGEF7	RAC1	activation
ARHGEF7	RAC2	activation
ARHGEF7	RAC3	activation
ARHGEF6	GIT1	activation
ARHGEF6	ARHGEF12	inhibition
ARHGEF6	ARHGEF1	inhibition
ARHGEF6	RAC1	activation
ARHGEF6	RAC2	activation
ARHGEF6	RAC3	activation
CDC42	PAK4	activation
CDC42	BUB1B-PAK6	activation
CDC42	PAK1	activation
CDC42	PAK2	activation
CDC42	PAK3	activation
CDC42	PAK6	activation
CDC42	PAK5	activation
CDC42	IQGAP2	activation
CDC42	IQGAP3	activation
CDC42	IQGAP1	activation
CDC42	DIAPH3	activation
CDC42	WASL	activation
RAC1	IQGAP2	activation
RAC1	IQGAP3	activation
RAC1	IQGAP1	activation
RAC1	BAIAP2	activation
RAC1	PAK4	activation
RAC1	BUB1B-PAK6	activation
RAC1	PAK1	activation
RAC1	PAK2	activation
RAC1	PAK3	activation
RAC1	PAK6	activation
RAC1	PAK5	activation
RAC1	ABI2	inhibition
RAC1	NCKAP1	inhibition
RAC1	NCKAP1L	inhibition
RAC1	CYFIP1	inhibition
RAC1	CYFIP2	inhibition
RAC2	IQGAP2	activation
RAC2	IQGAP3	activation
RAC2	IQGAP1	activation
RAC2	BAIAP2	activation
RAC2	PAK4	activation
RAC2	BUB1B-PAK6	activation
RAC2	PAK1	activation
RAC2	PAK2	activation
RAC2	PAK3	activation
RAC2	PAK6	activation
RAC2	PAK5	activation
RAC2	ABI2	inhibition
RAC2	NCKAP1	inhibition
RAC2	NCKAP1L	inhibition
RAC2	CYFIP1	inhibition
RAC2	CYFIP2	inhibition
RAC3	IQGAP2	activation
RAC3	IQGAP3	activation
RAC3	IQGAP1	activation
RAC3	BAIAP2	activation
RAC3	PAK4	activation
RAC3	BUB1B-PAK6	activation
RAC3	PAK1	activation
RAC3	PAK2	activation
RAC3	PAK3	activation
