TNF	TNFRSF1A	activation
TNFRSF1A	TRADD	activation
MLKL	PGAM5	activation
MLKL	NLRP3	activation
MLKL	TRPM7	activation
TLR4	TICAM2	activation
IFNAR1	JAK1	activation
IFNAR1	JAK2	activation
IFNAR1	JAK3	activation
IFNAR1	TYK2	activation
IFNAR2	JAK1	activation
IFNAR2	JAK2	activation
IFNAR2	JAK3	activation
IFNAR2	TYK2	activation
IFNGR1	JAK1	activation
IFNGR1	JAK2	activation
IFNGR1	JAK3	activation
IFNGR1	TYK2	activation
IFNGR2	JAK1	activation
IFNGR2	JAK2	activation
IFNGR2	JAK3	activation
IFNGR2	TYK2	activation
IFNA1	IFNAR1	activation
IFNA1	IFNAR2	activation
IFNA1	IFNGR1	activation
IFNA1	IFNGR2	activation
IFNA2	IFNAR1	activation
IFNA2	IFNAR2	activation
IFNA2	IFNGR1	activation
IFNA2	IFNGR2	activation
IFNA4	IFNAR1	activation
IFNA4	IFNAR2	activation
IFNA4	IFNGR1	activation
IFNA4	IFNGR2	activation
IFNA5	IFNAR1	activation
IFNA5	IFNAR2	activation
IFNA5	IFNGR1	activation
IFNA5	IFNGR2	activation
IFNA6	IFNAR1	activation
IFNA6	IFNAR2	activation
IFNA6	IFNGR1	activation
IFNA6	IFNGR2	activation
IFNA7	IFNAR1	activation
IFNA7	IFNAR2	activation
IFNA7	IFNGR1	activation
IFNA7	IFNGR2	activation
IFNA8	IFNAR1	activation
IFNA8	IFNAR2	activation
IFNA8	IFNGR1	activation
IFNA8	IFNGR2	activation
IFNA10	IFNAR1	activation
IFNA10	IFNAR2	activation
IFNA10	IFNGR1	activation
IFNA10	IFNGR2	activation
IFNA13	IFNAR1	activation
IFNA13	IFNAR2	activation
IFNA13	IFNGR1	activation
IFNA13	IFNGR2	activation
IFNA14	IFNAR1	activation
IFNA14	IFNAR2	activation
IFNA14	IFNGR1	activation
IFNA14	IFNGR2	activation
IFNA16	IFNAR1	activation
IFNA16	IFNAR2	activation
IFNA16	IFNGR1	activation
IFNA16	IFNGR2	activation
IFNA17	IFNAR1	activation
IFNA17	IFNAR2	activation
IFNA17	IFNGR1	activation
