DRD1	GNAS	activation
CALML6	CAMK4	activation
CALML6	CAMK2A	activation
CALML6	CAMK2B	activation
CALML6	CAMK2D	activation
CALML6	CAMK2G	activation
CALML6	PPP3CA	activation
CALML6	PPP3CB	activation
CALML6	PPP3CC	activation
CALML6	PPP3R1	activation
CALML6	PPP3R2	activation
CALML5	CAMK4	activation
CALML5	CAMK2A	activation
CALML5	CAMK2B	activation
CALML5	CAMK2D	activation
CALML5	CAMK2G	activation
CALML5	PPP3CA	activation
CALML5	PPP3CB	activation
CALML5	PPP3CC	activation
CALML5	PPP3R1	activation
CALML5	PPP3R2	activation
CALM1	CAMK4	activation
CALM1	CAMK2A	activation
CALM1	CAMK2B	activation
CALM1	CAMK2D	activation
CALM1	CAMK2G	activation
CALM1	PPP3CA	activation
CALM1	PPP3CB	activation
CALM1	PPP3CC	activation
CALM1	PPP3R1	activation
CALM1	PPP3R2	activation
CALM2	CAMK4	activation
CALM2	CAMK2A	activation
CALM2	CAMK2B	activation
CALM2	CAMK2D	activation
CALM2	CAMK2G	activation
CALM2	PPP3CA	activation
CALM2	PPP3CB	activation
CALM2	PPP3CC	activation
CALM2	PPP3R1	activation
CALM2	PPP3R2	activation
CALM3	CAMK4	activation
CALM3	CAMK2A	activation
CALM3	CAMK2B	activation
CALM3	CAMK2D	activation
CALM3	CAMK2G	activation
CALM3	PPP3CA	activation
CALM3	PPP3CB	activation
CALM3	PPP3CC	activation
CALM3	PPP3R1	activation
CALM3	PPP3R2	activation
CALML3	CAMK4	activation
CALML3	CAMK2A	activation
CALML3	CAMK2B	activation
CALML3	CAMK2D	activation
CALML3	CAMK2G	activation
CALML3	PPP3CA	activation
CALML3	PPP3CB	activation
CALML3	PPP3CC	activation
CALML3	PPP3R1	activation
CALML3	PPP3R2	activation
CALML4	CAMK4	activation
CALML4	CAMK2A	activation
CALML4	CAMK2B	activation
CALML4	CAMK2D	activation
CALML4	CAMK2G	activation
CALML4	PPP3CA	activation
CALML4	PPP3CB	activation
CALML4	PPP3CC	activation
CALML4	PPP3R1	activation
CALML4	PPP3R2	activation
CAMK4	CREB3	activation
CAMK4	CREB1	activation
CAMK4	ATF2	activation
CAMK4	ATF6B	activation
CAMK4	CREB3L4	activation
CAMK4	ATF4	activation
CAMK4	CREB3L2	activation
CAMK4	CREB3L3	activation
CAMK4	CREB3L1	activation
CAMK4	CREB5	activation
CAMK2A	SLC6A3	activation
CAMK2A	CREB3	activation
CAMK2A	CREB1	activation
CAMK2A	ATF2	activation
CAMK2A	ATF6B	activation
CAMK2A	CREB3L4	activation
CAMK2A	ATF4	activation
CAMK2A	CREB3L2	activation
CAMK2A	CREB3L3	activation
CAMK2A	CREB3L1	activation
CAMK2A	CREB5	activation
CAMK2B	SLC6A3	activation
CAMK2B	CREB3	activation
CAMK2B	CREB1	activation
CAMK2B	ATF2	activation
CAMK2B	ATF6B	activation
CAMK2B	CREB3L4	activation
CAMK2B	ATF4	activation
CAMK2B	CREB3L2	activation
CAMK2B	CREB3L3	activation
CAMK2B	CREB3L1	activation
CAMK2B	CREB5	activation
CAMK2D	SLC6A3	activation
CAMK2D	CREB3	activation
CAMK2D	CREB1	activation
CAMK2D	ATF2	activation
CAMK2D	ATF6B	activation
CAMK2D	CREB3L4	activation
CAMK2D	ATF4	activation
CAMK2D	CREB3L2	activation
CAMK2D	CREB3L3	activation
CAMK2D	CREB3L1	activation
CAMK2D	CREB5	activation
CAMK2G	SLC6A3	activation
CAMK2G	CREB3	activation
CAMK2G	CREB1	activation
CAMK2G	ATF2	activation
CAMK2G	ATF6B	activation
CAMK2G	CREB3L4	activation
CAMK2G	ATF4	activation
CAMK2G	CREB3L2	activation
CAMK2G	CREB3L3	activation
CAMK2G	CREB3L1	activation
CAMK2G	CREB5	activation
PPP1R1B	PPP1CA	inhibition
PPP1R1B	PPP1CB	inhibition
PPP1R1B	PPP1CC	inhibition
PRKACA	GRIA1	activation
PRKACA	GRIA2	activation
PRKACA	GRIA3	activation
PRKACA	GRIA4	activation
PRKACA	GRIN3A	activation
PRKACA	GRIN3B	activation
PRKACA	GRIN1	activation
PRKACA	GRIN2A	activation
PRKACA	GRIN2B	activation
PRKACA	GRIN2C	activation
PRKACA	GRIN2D	activation
PRKACA	CACNA1C	activation
PRKACA	CACNA1D	activation
PRKACB	GRIA1	activation
PRKACB	GRIA2	activation
PRKACB	GRIA3	activation
PRKACB	GRIA4	activation
PRKACB	GRIN3A	activation
PRKACB	GRIN3B	activation
PRKACB	GRIN1	activation
PRKACB	GRIN2A	activation
PRKACB	GRIN2B	activation
PRKACB	GRIN2C	activation
PRKACB	GRIN2D	activation
