CASP3	DCC	activation
PIK3CA	AKT3	activation
PIK3CA	AKT1	activation
PIK3CA	AKT2	activation
PIK3CB	AKT3	activation
PIK3CB	AKT1	activation
PIK3CB	AKT2	activation
PIK3CD	AKT3	activation
PIK3CD	AKT1	activation
PIK3CD	AKT2	activation
PIK3R1	AKT3	activation
PIK3R1	AKT1	activation
PIK3R1	AKT2	activation
PIK3R2	AKT3	activation
PIK3R2	AKT1	activation
PIK3R2	AKT2	activation
PIK3R3	AKT3	activation
PIK3R3	AKT1	activation
PIK3R3	AKT2	activation
KRAS	PIK3CA	activation
KRAS	PIK3CB	activation
KRAS	PIK3CD	activation
KRAS	PIK3R1	activation
KRAS	PIK3R2	activation
KRAS	PIK3R3	activation
KRAS	ARAF	activation
KRAS	RAF1	activation
KRAS	BRAF	activation
KRAS	RALGDS	activation
RALGDS	RALA	activation
RALGDS	RALB	activation
RHOA	MAPK8	activation
RHOA	MAPK9	activation
RHOA	MAPK10	activation
RAC1	MAPK8	activation
RAC1	MAPK9	activation
RAC1	MAPK10	activation
RAC2	MAPK8	activation
RAC2	MAPK9	activation
RAC2	MAPK10	activation
RAC3	MAPK8	activation
RAC3	MAPK9	activation
RAC3	MAPK10	activation
CTNNB1	LEF1	activation
CTNNB1	TCF7	activation
CTNNB1	TCF7L2	activation
CTNNB1	TCF7L1	activation
AKT3	MTOR	activation
AKT1	MTOR	activation
AKT2	MTOR	activation
BAD	BCL2	inhibition
BAX	BCL2	inhibition
PMAIP1	BCL2	inhibition
BCL2L11	BCL2	inhibition
BBC3	BCL2	inhibition
RALA	RHOA	activation
RALA	RAC1	activation
RALA	RAC2	activation
RALA	RAC3	activation
RALB	RHOA	activation
RALB	RAC1	activation
RALB	RAC2	activation
RALB	RAC3	activation
HRAS	ARAF	activation
HRAS	RAF1	activation
HRAS	BRAF	activation
NRAS	ARAF	activation
NRAS	RAF1	activation
NRAS	BRAF	activation
SOS1	HRAS	activation
SOS1	KRAS	activation
SOS1	NRAS	activation
SOS2	HRAS	activation
SOS2	KRAS	activation
SOS2	NRAS	activation
GRB2	SOS1	activation
GRB2	SOS2	activation
MTOR	RPS6KB1	activation
MTOR	RPS6KB2	activation
EGFR	GRB2	activation
EGFR	PIK3CA	activation
EGFR	PIK3CB	activation
EGFR	PIK3CD	activation
EGFR	PIK3R1	activation
EGFR	PIK3R2	activation
EGFR	PIK3R3	activation
EGF	EGFR	activation
TGFA	EGFR	activation
EREG	EGFR	activation
AREG	EGFR	activation
