SERPINE1	PLAT	inhibition
GNB5	PIK3R6	activation
GNB5	PIK3R5	activation
GNB5	PIK3CG	activation
GNB5	PRKCE	activation
GNB5	PRKAG2	activation
GNB5	PRKAG3	activation
GNB5	PRKAA1	activation
GNB5	PRKAA2	activation
GNB5	PRKAB1	activation
GNB5	PRKAB2	activation
GNB5	PRKAG1	activation
GNB5	RRAS2	activation
GNB5	MRAS	activation
GNB5	HRAS	activation
GNB5	KRAS	activation
GNB5	NRAS	activation
GNB5	RRAS	activation
GNB5	PLCB1	activation
GNB5	PLCB2	activation
GNB5	PLCB3	activation
GNB5	PLCB4	activation
GNB5	ADCY1	inhibition
GNB5	ADCY2	inhibition
GNB5	ADCY3	inhibition
GNB5	ADCY5	inhibition
GNB5	ADCY6	inhibition
GNB5	ADCY7	inhibition
GNB5	ADCY8	inhibition
GNB5	ADCY9	inhibition
GNB5	ADCY4	inhibition
GNB5	ADCY10	inhibition
GNB5	CAMK4	activation
GNAI1	PIK3R6	activation
GNAI1	PIK3R5	activation
GNAI1	PIK3CG	activation
GNAI1	PRKCE	activation
GNAI1	ADCY1	inhibition
GNAI1	ADCY2	inhibition
GNAI1	ADCY3	inhibition
GNAI1	ADCY5	inhibition
GNAI1	ADCY6	inhibition
GNAI1	ADCY7	inhibition
GNAI1	ADCY8	inhibition
GNAI1	ADCY9	inhibition
GNAI1	ADCY4	inhibition
GNAI1	ADCY10	inhibition
GNAI2	PIK3R6	activation
GNAI2	PIK3R5	activation
GNAI2	PIK3CG	activation
GNAI2	PRKCE	activation
GNAI2	ADCY1	inhibition
GNAI2	ADCY2	inhibition
GNAI2	ADCY3	inhibition
GNAI2	ADCY5	inhibition
GNAI2	ADCY6	inhibition
GNAI2	ADCY7	inhibition
GNAI2	ADCY8	inhibition
GNAI2	ADCY9	inhibition
GNAI2	ADCY4	inhibition
GNAI2	ADCY10	inhibition
GNAI3	PIK3R6	activation
GNAI3	PIK3R5	activation
GNAI3	PIK3CG	activation
GNAI3	PRKCE	activation
GNAI3	ADCY1	inhibition
GNAI3	ADCY2	inhibition
GNAI3	ADCY3	inhibition
GNAI3	ADCY5	inhibition
GNAI3	ADCY6	inhibition
GNAI3	ADCY7	inhibition
GNAI3	ADCY8	inhibition
GNAI3	ADCY9	inhibition
GNAI3	ADCY4	inhibition
GNAI3	ADCY10	inhibition
GNB1	PIK3R6	activation
GNB1	PIK3R5	activation
GNB1	PIK3CG	activation
GNB1	PRKCE	activation
GNB1	PRKAG2	activation
GNB1	PRKAG3	activation
GNB1	PRKAA1	activation
GNB1	PRKAA2	activation
GNB1	PRKAB1	activation
GNB1	PRKAB2	activation
GNB1	PRKAG1	activation
GNB1	RRAS2	activation
GNB1	MRAS	activation
GNB1	HRAS	activation
GNB1	KRAS	activation
GNB1	NRAS	activation
GNB1	RRAS	activation
GNB1	PLCB1	activation
GNB1	PLCB2	activation
GNB1	PLCB3	activation
GNB1	PLCB4	activation
GNB1	ADCY1	inhibition
GNB1	ADCY2	inhibition
GNB1	ADCY3	inhibition
GNB1	ADCY5	inhibition
GNB1	ADCY6	inhibition
GNB1	ADCY7	inhibition
GNB1	ADCY8	inhibition
GNB1	ADCY9	inhibition
GNB1	ADCY4	inhibition
GNB1	ADCY10	inhibition
GNB1	CAMK4	activation
GNB2	PIK3R6	activation
GNB2	PIK3R5	activation
GNB2	PIK3CG	activation
GNB2	PRKCE	activation
GNB2	PRKAG2	activation
GNB2	PRKAG3	activation
GNB2	PRKAA1	activation
GNB2	PRKAA2	activation
GNB2	PRKAB1	activation
GNB2	PRKAB2	activation
GNB2	PRKAG1	activation
GNB2	RRAS2	activation
GNB2	MRAS	activation
GNB2	HRAS	activation
GNB2	KRAS	activation
GNB2	NRAS	activation
GNB2	RRAS	activation
GNB2	PLCB1	activation
GNB2	PLCB2	activation
GNB2	PLCB3	activation
GNB2	PLCB4	activation
GNB2	ADCY1	inhibition
GNB2	ADCY2	inhibition
GNB2	ADCY3	inhibition
GNB2	ADCY5	inhibition
GNB2	ADCY6	inhibition
GNB2	ADCY7	inhibition
GNB2	ADCY8	inhibition
GNB2	ADCY9	inhibition
GNB2	ADCY4	inhibition
GNB2	ADCY10	inhibition
GNB2	CAMK4	activation
GNB3	PIK3R6	activation
GNB3	PIK3R5	activation
GNB3	PIK3CG	activation
GNB3	PRKCE	activation
GNB3	PRKAG2	activation
GNB3	PRKAG3	activation
GNB3	PRKAA1	activation
GNB3	PRKAA2	activation
GNB3	PRKAB1	activation
GNB3	PRKAB2	activation
GNB3	PRKAG1	activation
GNB3	RRAS2	activation
GNB3	MRAS	activation
GNB3	HRAS	activation
GNB3	KRAS	activation
GNB3	NRAS	activation
GNB3	RRAS	activation
GNB3	PLCB1	activation
GNB3	PLCB2	activation
GNB3	PLCB3	activation
GNB3	PLCB4	activation
GNB3	ADCY1	inhibition
GNB3	ADCY2	inhibition
GNB3	ADCY3	inhibition
GNB3	ADCY5	inhibition
GNB3	ADCY6	inhibition
GNB3	ADCY7	inhibition
GNB3	ADCY8	inhibition
GNB3	ADCY9	inhibition
GNB3	ADCY4	inhibition
GNB3	ADCY10	inhibition
GNB3	CAMK4	activation
GNG3	PIK3R6	activation
GNG3	PIK3R5	activation
GNG3	PIK3CG	activation
GNG3	PRKCE	activation
GNG3	PRKAG2	activation
GNG3	PRKAG3	activation
GNG3	PRKAA1	activation
GNG3	PRKAA2	activation
GNG3	PRKAB1	activation
GNG3	PRKAB2	activation
GNG3	PRKAG1	activation
GNG3	RRAS2	activation
GNG3	MRAS	activation
GNG3	HRAS	activation
GNG3	KRAS	activation
GNG3	NRAS	activation
GNG3	RRAS	activation
GNG3	PLCB1	activation
GNG3	PLCB2	activation
GNG3	PLCB3	activation
GNG3	PLCB4	activation
GNG3	ADCY1	inhibition
GNG3	ADCY2	inhibition
GNG3	ADCY3	inhibition
GNG3	ADCY5	inhibition
GNG3	ADCY6	inhibition
GNG3	ADCY7	inhibition
GNG3	ADCY8	inhibition
GNG3	ADCY9	inhibition
GNG3	ADCY4	inhibition
GNG3	ADCY10	inhibition
GNG3	CAMK4	activation
GNG4	PIK3R6	activation
GNG4	PIK3R5	activation
GNG4	PIK3CG	activation
GNG4	PRKCE	activation
GNG4	PRKAG2	activation
GNG4	PRKAG3	activation
GNG4	PRKAA1	activation
GNG4	PRKAA2	activation
GNG4	PRKAB1	activation
GNG4	PRKAB2	activation
GNG4	PRKAG1	activation
GNG4	RRAS2	activation
GNG4	MRAS	activation
GNG4	HRAS	activation
GNG4	KRAS	activation
GNG4	NRAS	activation
GNG4	RRAS	activation
GNG4	PLCB1	activation
GNG4	PLCB2	activation
GNG4	PLCB3	activation
GNG4	PLCB4	activation
GNG4	ADCY1	inhibition
GNG4	ADCY2	inhibition
GNG4	ADCY3	inhibition
GNG4	ADCY5	inhibition
GNG4	ADCY6	inhibition
GNG4	ADCY7	inhibition
GNG4	ADCY8	inhibition
GNG4	ADCY9	inhibition
GNG4	ADCY4	inhibition
GNG4	ADCY10	inhibition
GNG4	CAMK4	activation
GNG5	PIK3R6	activation
GNG5	PIK3R5	activation
GNG5	PIK3CG	activation
GNG5	PRKCE	activation
GNG5	PRKAG2	activation
GNG5	PRKAG3	activation
GNG5	PRKAA1	activation
GNG5	PRKAA2	activation
GNG5	PRKAB1	activation
GNG5	PRKAB2	activation
GNG5	PRKAG1	activation
GNG5	RRAS2	activation
GNG5	MRAS	activation
GNG5	HRAS	activation
GNG5	KRAS	activation
GNG5	NRAS	activation
GNG5	RRAS	activation
GNG5	PLCB1	activation
GNG5	PLCB2	activation
GNG5	PLCB3	activation
GNG5	PLCB4	activation
GNG5	ADCY1	inhibition
GNG5	ADCY2	inhibition
