GCG	GCGR	activation
GCGR	GNAS	activation
GCGR	GNAQ	activation
GNAS	ADCY2	activation
PRKACA	CREB3	activation
PRKACA	CREB1	activation
PRKACA	ATF2	activation
PRKACA	CREB3L4	activation
PRKACA	ATF4	activation
PRKACA	CREB3L2	activation
PRKACA	CREB3L3	activation
PRKACA	CREB3L1	activation
PRKACA	CREB5	activation
PRKACA	ITPR1	activation
PRKACA	ITPR2	activation
PRKACA	ITPR3	activation
PRKACA	PFKFB1	activation
PRKACA	SIK2	inhibition
PRKACA	PPP4C	activation
PRKACA	PPP4R3A	activation
PRKACA	PPP4R3B	activation
PRKACA	PRKAG2	activation
PRKACA	PRKAG3	activation
PRKACA	PRKAA1	activation
PRKACA	PRKAA2	activation
PRKACA	PRKAB1	activation
PRKACA	PRKAB2	activation
PRKACA	PRKAG1	activation
PRKACA	GYS1	inhibition
PRKACA	GYS2	inhibition
PRKACA	PKM	inhibition
PRKACA	PHKA1	activation
PRKACA	PHKA2	activation
PRKACA	PHKB	activation
PRKACA	PHKG1	activation
PRKACA	PHKG2	activation
PRKACA	CALML6	activation
PRKACA	CALML5	activation
PRKACA	CALM1	activation
PRKACA	CALM2	activation
PRKACA	CALM3	activation
PRKACA	CALML3	activation
PRKACA	CALML4	activation
PRKACB	CREB3	activation
PRKACB	CREB1	activation
PRKACB	ATF2	activation
PRKACB	CREB3L4	activation
PRKACB	ATF4	activation
PRKACB	CREB3L2	activation
PRKACB	CREB3L3	activation
PRKACB	CREB3L1	activation
PRKACB	CREB5	activation
PRKACB	ITPR1	activation
PRKACB	ITPR2	activation
PRKACB	ITPR3	activation
PRKACB	PFKFB1	activation
PRKACB	SIK2	inhibition
PRKACB	PPP4C	activation
PRKACB	PPP4R3A	activation
PRKACB	PPP4R3B	activation
PRKACB	PRKAG2	activation
PRKACB	PRKAG3	activation
PRKACB	PRKAA1	activation
PRKACB	PRKAA2	activation
PRKACB	PRKAB1	activation
PRKACB	PRKAB2	activation
PRKACB	PRKAG1	activation
PRKACB	GYS1	inhibition
PRKACB	GYS2	inhibition
PRKACB	PKM	inhibition
PRKACB	PHKA1	activation
PRKACB	PHKA2	activation
PRKACB	PHKB	activation
PRKACB	PHKG1	activation
PRKACB	PHKG2	activation
PRKACB	CALML6	activation
PRKACB	CALML5	activation
PRKACB	CALM1	activation
PRKACB	CALM2	activation
PRKACB	CALM3	activation
PRKACB	CALML3	activation
PRKACB	CALML4	activation
PRKACG	CREB3	activation
PRKACG	CREB1	activation
PRKACG	ATF2	activation
PRKACG	CREB3L4	activation
PRKACG	ATF4	activation
PRKACG	CREB3L2	activation
PRKACG	CREB3L3	activation
PRKACG	CREB3L1	activation
PRKACG	CREB5	activation
PRKACG	ITPR1	activation
PRKACG	ITPR2	activation
PRKACG	ITPR3	activation
PRKACG	PFKFB1	activation
PRKACG	SIK2	inhibition
PRKACG	PPP4C	activation
PRKACG	PPP4R3A	activation
PRKACG	PPP4R3B	activation
PRKACG	PRKAG2	activation
PRKACG	PRKAG3	activation
PRKACG	PRKAA1	activation
PRKACG	PRKAA2	activation
PRKACG	PRKAB1	activation
PRKACG	PRKAB2	activation
PRKACG	PRKAG1	activation
PRKACG	GYS1	inhibition
PRKACG	GYS2	inhibition
PRKACG	PKM	inhibition
PRKACG	PHKA1	activation
PRKACG	PHKA2	activation
PRKACG	PHKB	activation
PRKACG	PHKG1	activation
PRKACG	PHKG2	activation
PRKACG	CALML6	activation
PRKACG	CALML5	activation
PRKACG	CALM1	activation
PRKACG	CALM2	activation
PRKACG	CALM3	activation
PRKACG	CALML3	activation
PRKACG	CALML4	activation
GNAQ	PLCB1	activation
GNAQ	PLCB2	activation
GNAQ	PLCB3	activation
GNAQ	PLCB4	activation
PPP4C	CRTC2	inhibition
PPP4R3A	CRTC2	inhibition
PPP4R3B	CRTC2	inhibition
SIK2	CRTC2	inhibition
PRMT1	FOXO1	activation
