INS	INSR	activation
IRS1	PIK3CA	activation
IRS1	PIK3CB	activation
IRS1	PIK3CD	activation
IRS1	PIK3R1	activation
IRS1	PIK3R2	activation
IRS1	PIK3R3	activation
IRS2	PIK3CA	activation
IRS2	PIK3CB	activation
IRS2	PIK3CD	activation
IRS2	PIK3R1	activation
IRS2	PIK3R2	activation
IRS2	PIK3R3	activation
AKT3	GSK3A	inhibition
AKT3	GSK3B	inhibition
AKT1	GSK3A	inhibition
AKT1	GSK3B	inhibition
AKT2	GSK3A	inhibition
AKT2	GSK3B	inhibition
TNF	TNFRSF1A	activation
TNF	MAPK8	activation
TNF	MAPK9	activation
TNF	MAPK10	activation
IL6	IL6R	activation
SOCS3	IRS1	inhibition
SOCS3	IRS2	inhibition
PIK3CA	AKT3	activation
PIK3CA	AKT1	activation
PIK3CA	AKT2	activation
PIK3CB	AKT3	activation
PIK3CB	AKT1	activation
PIK3CB	AKT2	activation
PIK3CD	AKT3	activation
PIK3CD	AKT1	activation
PIK3CD	AKT2	activation
PIK3R1	AKT3	activation
PIK3R1	AKT1	activation
PIK3R1	AKT2	activation
PIK3R2	AKT3	activation
PIK3R2	AKT1	activation
PIK3R2	AKT2	activation
PIK3R3	AKT3	activation
PIK3R3	AKT1	activation
PIK3R3	AKT2	activation
ADIPOQ	ADIPOR1	activation
ADIPOQ	ADIPOR2	activation
ADIPOQ	PPARA	activation
LEP	LEPR	activation
ADIPOR1	PRKAG2	activation
ADIPOR1	PRKAG3	activation
ADIPOR1	PRKAA1	activation
ADIPOR1	PRKAA2	activation
ADIPOR1	PRKAB1	activation
ADIPOR1	PRKAB2	activation
ADIPOR1	PRKAG1	activation
ADIPOR2	PRKAG2	activation
ADIPOR2	PRKAG3	activation
ADIPOR2	PRKAA1	activation
ADIPOR2	PRKAA2	activation
ADIPOR2	PRKAB1	activation
ADIPOR2	PRKAB2	activation
ADIPOR2	PRKAG1	activation
CASP8	BID	activation
BID	CYCS	activation
CYCS	CASP3	activation
CYCS	CASP7	activation
FAS	CASP8	activation
EIF2AK3	EIF2S1	activation
EIF2S1	ATF4	activation
BCL2L11	BAX	activation
ATF4	DDIT3	activation
DDIT3	BCL2L11	activation
FASLG	FAS	activation
ERN1	TRAF2	activation
ERN1	XBP1	activation
TRAF2	MAP3K5	activation
TRAF2	IKBKB	activation
MAPK8	JUN	activation
MAPK8	MAPK8	activation
MAPK8	MAPK9	activation
MAPK8	MAPK10	activation
MAPK8	ITCH	activation
MAPK9	ITCH	activation
MAPK10	ITCH	activation
IKBKB	NFKB1	activation
IKBKB	RELA	activation
MAP3K5	MAPK8	activation
MAP3K5	MAPK9	activation
MAP3K5	MAPK10	activation
CDC42	MAP3K11	activation
RAC1	MAP3K11	activation
MAP3K11	MAPK8	activation
ITCH	CASP8	activation
LEPR	PRKAG2	activation
LEPR	PRKAG3	activation
LEPR	PRKAA1	activation
LEPR	PRKAA2	activation
LEPR	PRKAB1	activation
LEPR	PRKAB2	activation
LEPR	PRKAG1	activation
INSR	IRS1	activation
INSR	IRS2	activation
TNFRSF1A	NFKB1	activation
TNFRSF1A	RELA	activation
