PTH1R	GNAS	activation
BDKRB2	GNAQ	activation
KL	TRPV5	activation
KL	ATP1B4	activation
KL	ATP1A1	activation
KL	ATP1A2	activation
KL	ATP1A3	activation
KL	ATP1A4	activation
KL	ATP1B1	activation
KL	ATP1B2	activation
KL	ATP1B3	activation
KL	FXYD2	activation
PRKCA	TRPV5	activation
PRKCB	TRPV5	activation
PRKCG	TRPV5	activation
GNAQ	PLCB1	activation
GNAQ	PLCB2	activation
GNAQ	PLCB3	activation
GNAQ	PLCB4	activation
KLK1	BDKRB2	activation
KLK2	BDKRB2	activation
PRKACA	TRPV5	activation
PRKACB	TRPV5	activation
PRKACG	TRPV5	activation
GNAS	ADCY6	activation
GNAS	ADCY9	activation
ATP1B4	SLC8A2	activation
ATP1B4	SLC8A1	activation
ATP1B4	SLC8A3	activation
ATP1A1	SLC8A2	activation
ATP1A1	SLC8A1	activation
ATP1A1	SLC8A3	activation
ATP1A2	SLC8A2	activation
ATP1A2	SLC8A1	activation
ATP1A2	SLC8A3	activation
ATP1A3	SLC8A2	activation
ATP1A3	SLC8A1	activation
ATP1A3	SLC8A3	activation
ATP1A4	SLC8A2	activation
ATP1A4	SLC8A1	activation
ATP1A4	SLC8A3	activation
ATP1B1	SLC8A2	activation
ATP1B1	SLC8A1	activation
ATP1B1	SLC8A3	activation
ATP1B2	SLC8A2	activation
ATP1B2	SLC8A1	activation
ATP1B2	SLC8A3	activation
ATP1B3	SLC8A2	activation
ATP1B3	SLC8A1	activation
ATP1B3	SLC8A3	activation
FXYD2	SLC8A2	activation
FXYD2	SLC8A1	activation
FXYD2	SLC8A3	activation
PTH	PTH1R	activation
