AVP	AVPR2	activation
AVPR2	GNAS	activation
GNAS	ADCY3	activation
GNAS	ADCY6	activation
GNAS	ADCY9	activation
PRKACA	ARHGDIA	activation
PRKACA	ARHGDIB	activation
PRKACA	ARHGDIG	activation
PRKACA	CREB3	activation
PRKACA	CREB1	activation
PRKACA	CREB3L4	activation
PRKACA	CREB3L2	activation
PRKACA	CREB3L3	activation
PRKACA	CREB3L1	activation
PRKACA	CREB5	activation
PRKACA	AQP2	activation
PRKACB	ARHGDIA	activation
PRKACB	ARHGDIB	activation
PRKACB	ARHGDIG	activation
PRKACB	CREB3	activation
PRKACB	CREB1	activation
PRKACB	CREB3L4	activation
PRKACB	CREB3L2	activation
PRKACB	CREB3L3	activation
PRKACB	CREB3L1	activation
PRKACB	CREB5	activation
PRKACB	AQP2	activation
PRKACG	ARHGDIA	activation
PRKACG	ARHGDIB	activation
PRKACG	ARHGDIG	activation
PRKACG	CREB3	activation
PRKACG	CREB1	activation
PRKACG	CREB3L4	activation
PRKACG	CREB3L2	activation
PRKACG	CREB3L3	activation
PRKACG	CREB3L1	activation
PRKACG	CREB5	activation
PRKACG	AQP2	activation
