ERO1A	PDIA4	activation
GNAS	ADCY3	activation
GNAS	ADCY9	activation
KCNQ1	PRKACA	activation
KCNQ1	PRKACB	activation
KCNQ1	PRKACG	activation
KCNQ1	SLC12A2	activation
KCNQ1	ADCY3	activation
KCNQ1	ADCY9	activation
PRKCA	PLCG1	activation
PRKCA	PLCG2	activation
PRKCA	ACTB	activation
PRKCA	ACTG1	activation
SLC12A2	PRKACA	activation
SLC12A2	PRKACB	activation
SLC12A2	PRKACG	activation
SLC12A2	ADCY3	activation
SLC12A2	ADCY9	activation
PRKACA	ADCY3	activation
PRKACA	ADCY9	activation
PRKACA	CFTR	activation
PRKACB	ADCY3	activation
PRKACB	ADCY9	activation
PRKACB	CFTR	activation
PRKACG	ADCY3	activation
PRKACG	ADCY9	activation
PRKACG	CFTR	activation
