DDX58	MAVS	activation
MAVS	CHUK	activation
MAVS	IKBKB	activation
MAVS	IKBKG	activation
TRAF3	TBK1	activation
TRAF3	IKBKE	activation
TBK1	IRF3	activation
TBK1	IRF7	activation
IKBKE	IRF3	activation
IKBKE	IRF7	activation
TLR3	TICAM1	activation
TICAM1	TRAF3	activation
TICAM1	TRAF6	activation
TICAM1	RIPK1	activation
CHUK	NFKBIA	activation
IKBKB	NFKBIA	activation
IKBKG	NFKBIA	activation
IFNA1	IFNAR1	activation
IFNA1	IFNAR2	activation
IFNA2	IFNAR1	activation
IFNA2	IFNAR2	activation
IFNA4	IFNAR1	activation
IFNA4	IFNAR2	activation
IFNA5	IFNAR1	activation
IFNA5	IFNAR2	activation
IFNA6	IFNAR1	activation
IFNA6	IFNAR2	activation
IFNA7	IFNAR1	activation
IFNA7	IFNAR2	activation
IFNA8	IFNAR1	activation
IFNA8	IFNAR2	activation
IFNA10	IFNAR1	activation
IFNA10	IFNAR2	activation
IFNA13	IFNAR1	activation
IFNA13	IFNAR2	activation
IFNA14	IFNAR1	activation
IFNA14	IFNAR2	activation
IFNA16	IFNAR1	activation
IFNA16	IFNAR2	activation
IFNA17	IFNAR1	activation
IFNA17	IFNAR2	activation
IFNA21	IFNAR1	activation
IFNA21	IFNAR2	activation
IFNB1	IFNAR1	activation
IFNB1	IFNAR2	activation
JAK1	STAT1	activation
JAK1	STAT2	activation
TYK2	STAT1	activation
TYK2	STAT2	activation
SOCS3	STAT1	inhibition
SOCS3	STAT2	inhibition
PPP2CA	STAT1	inhibition
PPP2CA	STAT2	inhibition
PPP2CB	STAT1	inhibition
PPP2CB	STAT2	inhibition
PPP2R1A	STAT1	inhibition
PPP2R1A	STAT2	inhibition
PPP2R1B	STAT1	inhibition
PPP2R1B	STAT2	inhibition
PPP2R2A	STAT1	inhibition
PPP2R2A	STAT2	inhibition
PPP2R2B	STAT1	inhibition
PPP2R2B	STAT2	inhibition
PPP2R2C	STAT1	inhibition
PPP2R2C	STAT2	inhibition
PPP2R2D	STAT1	inhibition
PPP2R2D	STAT2	inhibition
PIAS1	STAT1	inhibition
PIAS1	STAT2	inhibition
EIF2AK1	IFIT1	activation
EIF2AK1	IFIT1B	activation
EIF2AK1	EIF2S1	activation
EIF2AK1	CHUK	activation
EIF2AK1	IKBKB	activation
EIF2AK1	IKBKG	activation
EIF2AK4	IFIT1	activation
EIF2AK4	IFIT1B	activation
EIF2AK4	EIF2S1	activation
EIF2AK4	CHUK	activation
EIF2AK4	IKBKB	activation
EIF2AK4	IKBKG	activation
EIF2AK2	IFIT1	activation
EIF2AK2	IFIT1B	activation
EIF2AK2	EIF2S1	activation
EIF2AK2	CHUK	activation
EIF2AK2	IKBKB	activation
EIF2AK2	IKBKG	activation
EIF2AK3	IFIT1	activation
EIF2AK3	IFIT1B	activation
EIF2AK3	EIF2S1	activation
EIF2AK3	CHUK	activation
EIF2AK3	IKBKB	activation
EIF2AK3	IKBKG	activation
IFIT1	EIF3E	inhibition
IFIT1B	EIF3E	inhibition
SOS1	HRAS	activation
SOS1	KRAS	activation
SOS1	NRAS	activation
SOS2	HRAS	activation
SOS2	KRAS	activation
SOS2	NRAS	activation
HRAS	ARAF	activation
HRAS	RAF1	activation
HRAS	BRAF	activation
KRAS	ARAF	activation
KRAS	RAF1	activation
KRAS	BRAF	activation
NRAS	ARAF	activation
NRAS	RAF1	activation
NRAS	BRAF	activation
ARAF	MAP2K1	activation
ARAF	MAP2K2	activation
RAF1	MAP2K1	activation
RAF1	MAP2K2	activation
BRAF	MAP2K1	activation
BRAF	MAP2K2	activation
AKT3	GSK3B	inhibition
AKT3	BAD	inhibition
AKT3	CDKN1A	inhibition
AKT1	GSK3B	inhibition
AKT1	BAD	inhibition
AKT1	CDKN1A	inhibition
AKT2	GSK3B	inhibition
AKT2	BAD	inhibition
AKT2	CDKN1A	inhibition
GSK3B	CTNNB1	inhibition
EGF	EGFR	activation
CDKN1A	CDK2	inhibition
CDKN1A	CDK4	inhibition
CDKN1A	CDK6	inhibition
TNF	TNFRSF1A	activation
TRADD	TRAF2	activation
TRADD	FADD	activation
TRAF2	CHUK	activation
TRAF2	IKBKB	activation
TRAF2	IKBKG	activation
PSME3	RXRA	activation
PSME3	NR1H3	activation
MAP2K1	MAPK1	activation
MAP2K1	MAPK3	activation
MAP2K2	MAPK1	activation
MAP2K2	MAPK3	activation
YWHAQ	ARAF	inhibition
YWHAQ	RAF1	inhibition
YWHAQ	BRAF	inhibition
YWHAB	ARAF	inhibition
YWHAB	RAF1	inhibition
YWHAB	BRAF	inhibition
YWHAE	ARAF	inhibition
YWHAE	RAF1	inhibition
YWHAE	BRAF	inhibition
YWHAG	ARAF	inhibition
YWHAG	RAF1	inhibition
YWHAG	BRAF	inhibition
YWHAH	ARAF	inhibition
YWHAH	RAF1	inhibition
YWHAH	BRAF	inhibition
YWHAZ	ARAF	inhibition
YWHAZ	RAF1	inhibition
YWHAZ	BRAF	inhibition
CDK2	RB1	activation
CDK4	RB1	activation
CDK6	RB1	activation
FASLG	FAS	activation
FAS	FADD	activation
FADD	CASP8	activation
CASP8	BID	activation
CASP8	CASP3	activation
BID	BAX	activation
BID	BAK1	activation
BAX	CYCS	activation
CYCS	CASP9	activation
CASP9	CASP3	activation
BAK1	CYCS	activation
CFLAR	CASP8	inhibition
