CASP3	DCC	activation
CASP9	CASP3	activation
CASP9	CASP7	activation
CTNNB1	LEF1	activation
CTNNB1	TCF7	activation
CTNNB1	TCF7L2	activation
CTNNB1	TCF7L1	activation
WNT16	FZD10	activation
WNT16	FZD2	activation
WNT16	FZD5	activation
WNT16	FZD3	activation
WNT16	FZD1	activation
WNT16	FZD4	activation
WNT16	FZD6	activation
WNT16	FZD7	activation
WNT16	FZD8	activation
WNT16	FZD9	activation
WNT16	LRP6	activation
WNT16	LRP5	activation
WNT4	FZD10	activation
WNT4	FZD2	activation
WNT4	FZD5	activation
WNT4	FZD3	activation
WNT4	FZD1	activation
WNT4	FZD4	activation
WNT4	FZD6	activation
WNT4	FZD7	activation
WNT4	FZD8	activation
WNT4	FZD9	activation
WNT4	LRP6	activation
WNT4	LRP5	activation
WNT1	FZD10	activation
WNT1	FZD2	activation
WNT1	FZD5	activation
WNT1	FZD3	activation
WNT1	FZD1	activation
WNT1	FZD4	activation
WNT1	FZD6	activation
WNT1	FZD7	activation
WNT1	FZD8	activation
WNT1	FZD9	activation
WNT1	LRP6	activation
WNT1	LRP5	activation
WNT2	FZD10	activation
WNT2	FZD2	activation
WNT2	FZD5	activation
WNT2	FZD3	activation
WNT2	FZD1	activation
WNT2	FZD4	activation
WNT2	FZD6	activation
WNT2	FZD7	activation
WNT2	FZD8	activation
WNT2	FZD9	activation
WNT2	LRP6	activation
WNT2	LRP5	activation
WNT3	FZD10	activation
WNT3	FZD2	activation
WNT3	FZD5	activation
WNT3	FZD3	activation
WNT3	FZD1	activation
WNT3	FZD4	activation
WNT3	FZD6	activation
WNT3	FZD7	activation
WNT3	FZD8	activation
WNT3	FZD9	activation
WNT3	LRP6	activation
WNT3	LRP5	activation
WNT5A	FZD10	activation
WNT5A	FZD2	activation
WNT5A	FZD5	activation
WNT5A	FZD3	activation
WNT5A	FZD1	activation
WNT5A	FZD4	activation
WNT5A	FZD6	activation
WNT5A	FZD7	activation
WNT5A	FZD8	activation
WNT5A	FZD9	activation
WNT5A	LRP6	activation
WNT5A	LRP5	activation
WNT6	FZD10	activation
WNT6	FZD2	activation
WNT6	FZD5	activation
WNT6	FZD3	activation
WNT6	FZD1	activation
WNT6	FZD4	activation
WNT6	FZD6	activation
WNT6	FZD7	activation
WNT6	FZD8	activation
WNT6	FZD9	activation
WNT6	LRP6	activation
WNT6	LRP5	activation
WNT7A	FZD10	activation
WNT7A	FZD2	activation
WNT7A	FZD5	activation
WNT7A	FZD3	activation
WNT7A	FZD1	activation
WNT7A	FZD4	activation
WNT7A	FZD6	activation
WNT7A	FZD7	activation
WNT7A	FZD8	activation
WNT7A	FZD9	activation
WNT7A	LRP6	activation
WNT7A	LRP5	activation
WNT7B	FZD10	activation
WNT7B	FZD2	activation
WNT7B	FZD5	activation
WNT7B	FZD3	activation
WNT7B	FZD1	activation
WNT7B	FZD4	activation
WNT7B	FZD6	activation
WNT7B	FZD7	activation
WNT7B	FZD8	activation
WNT7B	FZD9	activation
WNT7B	LRP6	activation
WNT7B	LRP5	activation
WNT8A	FZD10	activation
WNT8A	FZD2	activation
WNT8A	FZD5	activation
WNT8A	FZD3	activation
WNT8A	FZD1	activation
WNT8A	FZD4	activation
WNT8A	FZD6	activation
WNT8A	FZD7	activation
WNT8A	FZD8	activation
WNT8A	FZD9	activation
WNT8A	LRP6	activation
WNT8A	LRP5	activation
WNT8B	FZD10	activation
WNT8B	FZD2	activation
WNT8B	FZD5	activation
WNT8B	FZD3	activation
WNT8B	FZD1	activation
WNT8B	FZD4	activation
WNT8B	FZD6	activation
WNT8B	FZD7	activation
WNT8B	FZD8	activation
WNT8B	FZD9	activation
WNT8B	LRP6	activation
WNT8B	LRP5	activation
WNT10B	FZD10	activation
WNT10B	FZD2	activation
WNT10B	FZD5	activation
WNT10B	FZD3	activation
WNT10B	FZD1	activation
WNT10B	FZD4	activation
WNT10B	FZD6	activation
WNT10B	FZD7	activation
WNT10B	FZD8	activation
WNT10B	FZD9	activation
WNT10B	LRP6	activation
WNT10B	LRP5	activation
WNT11	FZD10	activation
WNT11	FZD2	activation
WNT11	FZD5	activation
WNT11	FZD3	activation
WNT11	FZD1	activation
WNT11	FZD4	activation
WNT11	FZD6	activation
WNT11	FZD7	activation
WNT11	FZD8	activation
WNT11	FZD9	activation
WNT11	LRP6	activation
WNT11	LRP5	activation
WNT2B	FZD10	activation
WNT2B	FZD2	activation
WNT2B	FZD5	activation
WNT2B	FZD3	activation
WNT2B	FZD1	activation
WNT2B	FZD4	activation
WNT2B	FZD6	activation
WNT2B	FZD7	activation
WNT2B	FZD8	activation
WNT2B	FZD9	activation
WNT2B	LRP6	activation
WNT2B	LRP5	activation
WNT9A	FZD10	activation
WNT9A	FZD2	activation
WNT9A	FZD5	activation
WNT9A	FZD3	activation
WNT9A	FZD1	activation
WNT9A	FZD4	activation
WNT9A	FZD6	activation
WNT9A	FZD7	activation
WNT9A	FZD8	activation
WNT9A	FZD9	activation
WNT9A	LRP6	activation
WNT9A	LRP5	activation
WNT9B	FZD10	activation
WNT9B	FZD2	activation
WNT9B	FZD5	activation
WNT9B	FZD3	activation
WNT9B	FZD1	activation
WNT9B	FZD4	activation
WNT9B	FZD6	activation
WNT9B	FZD7	activation
WNT9B	FZD8	activation
WNT9B	FZD9	activation
WNT9B	LRP6	activation
WNT9B	LRP5	activation
WNT10A	FZD10	activation
WNT10A	FZD2	activation
WNT10A	FZD5	activation
WNT10A	FZD3	activation
WNT10A	FZD1	activation
WNT10A	FZD4	activation
WNT10A	FZD6	activation
WNT10A	FZD7	activation
WNT10A	FZD8	activation
WNT10A	FZD9	activation
WNT10A	LRP6	activation
WNT10A	LRP5	activation
WNT5B	FZD10	activation
WNT5B	FZD2	activation
WNT5B	FZD5	activation
WNT5B	FZD3	activation
WNT5B	FZD1	activation
WNT5B	FZD4	activation
WNT5B	FZD6	activation
WNT5B	FZD7	activation
WNT5B	FZD8	activation
WNT5B	FZD9	activation
WNT5B	LRP6	activation
WNT5B	LRP5	activation
WNT3A	FZD10	activation
WNT3A	FZD2	activation
WNT3A	FZD5	activation
WNT3A	FZD3	activation
WNT3A	FZD1	activation
WNT3A	FZD4	activation
WNT3A	FZD6	activation
WNT3A	FZD7	activation
WNT3A	FZD8	activation
WNT3A	FZD9	activation
WNT3A	LRP6	activation
WNT3A	LRP5	activation
ITGB1	PTK2	activation
DVL1	GSK3B	inhibition
DVL2	GSK3B	inhibition
DVL3	GSK3B	inhibition
LAMC3	ITGB1	activation
LAMC3	ITGA6	activation
LAMC3	ITGA2	activation
LAMC3	ITGA2B	activation
LAMC3	ITGA3	activation
LAMC3	ITGAV	activation
COL4A1	ITGB1	activation
COL4A1	ITGA6	activation
COL4A1	ITGA2	activation
COL4A1	ITGA2B	activation
COL4A1	ITGA3	activation
COL4A1	ITGAV	activation
COL4A2	ITGB1	activation
COL4A2	ITGA6	activation
COL4A2	ITGA2	activation
COL4A2	ITGA2B	activation
COL4A2	ITGA3	activation
COL4A2	ITGAV	activation
COL4A3	ITGB1	activation
COL4A3	ITGA6	activation
COL4A3	ITGA2	activation
COL4A3	ITGA2B	activation
COL4A3	ITGA3	activation
COL4A3	ITGAV	activation
COL4A4	ITGB1	activation
COL4A4	ITGA6	activation
COL4A4	ITGA2	activation
COL4A4	ITGA2B	activation
COL4A4	ITGA3	activation
COL4A4	ITGAV	activation
COL4A5	ITGB1	activation
COL4A5	ITGA6	activation
COL4A5	ITGA2	activation
COL4A5	ITGA2B	activation
COL4A5	ITGA3	activation
COL4A5	ITGAV	activation
COL4A6	ITGB1	activation
COL4A6	ITGA6	activation
COL4A6	ITGA2	activation
COL4A6	ITGA2B	activation
COL4A6	ITGA3	activation
COL4A6	ITGAV	activation
LAMB4	ITGB1	activation
LAMB4	ITGA6	activation
LAMB4	ITGA2	activation
LAMB4	ITGA2B	activation
LAMB4	ITGA3	activation
LAMB4	ITGAV	activation
FN1	ITGB1	activation
FN1	ITGA6	activation
FN1	ITGA2	activation
FN1	ITGA2B	activation
FN1	ITGA3	activation
FN1	ITGAV	activation
LAMA1	ITGB1	activation
LAMA1	ITGA6	activation
LAMA1	ITGA2	activation
LAMA1	ITGA2B	activation
LAMA1	ITGA3	activation
LAMA1	ITGAV	activation
LAMA2	ITGB1	activation
LAMA2	ITGA6	activation
LAMA2	ITGA2	activation
LAMA2	ITGA2B	activation
LAMA2	ITGA3	activation
LAMA2	ITGAV	activation
LAMA3	ITGB1	activation
LAMA3	ITGA6	activation
LAMA3	ITGA2	activation
LAMA3	ITGA2B	activation
LAMA3	ITGA3	activation
LAMA3	ITGAV	activation
LAMA4	ITGB1	activation
LAMA4	ITGA6	activation
LAMA4	ITGA2	activation
LAMA4	ITGA2B	activation
LAMA4	ITGA3	activation
LAMA4	ITGAV	activation
LAMA5	ITGB1	activation
LAMA5	ITGA6	activation
LAMA5	ITGA2	activation
LAMA5	ITGA2B	activation
LAMA5	ITGA3	activation
LAMA5	ITGAV	activation
LAMB1	ITGB1	activation
LAMB1	ITGA6	activation
LAMB1	ITGA2	activation
LAMB1	ITGA2B	activation
LAMB1	ITGA3	activation
LAMB1	ITGAV	activation
LAMB2	ITGB1	activation
LAMB2	ITGA6	activation
LAMB2	ITGA2	activation
LAMB2	ITGA2B	activation
LAMB2	ITGA3	activation
LAMB2	ITGAV	activation
LAMB3	ITGB1	activation
LAMB3	ITGA6	activation
LAMB3	ITGA2	activation
LAMB3	ITGA2B	activation
LAMB3	ITGA3	activation
LAMB3	ITGAV	activation
LAMC1	ITGB1	activation
LAMC1	ITGA6	activation
LAMC1	ITGA2	activation
LAMC1	ITGA2B	activation
LAMC1	ITGA3	activation
LAMC1	ITGAV	activation
LAMC2	ITGB1	activation
LAMC2	ITGA6	activation
LAMC2	ITGA2	activation
LAMC2	ITGA2B	activation
LAMC2	ITGA3	activation
LAMC2	ITGAV	activation
ITGA6	PTK2	activation
ITGA2	PTK2	activation
ITGA2B	PTK2	activation
ITGA3	PTK2	activation
ITGAV	PTK2	activation
PTK2	PIK3CA	activation
PTK2	PIK3CB	activation
