ADRB1	GNAS	activation
LOC102723407	ADRB1	activation
GNAS	ADCY1	activation
GNAS	ADCY2	activation
GNAS	ADCY3	activation
GNAS	ADCY5	activation
GNAS	ADCY6	activation
GNAS	ADCY7	activation
GNAS	ADCY8	activation
GNAS	ADCY9	activation
GNAS	ADCY4	activation
PRKACA	CACNG3	activation
PRKACA	CACNG2	activation
PRKACA	CACNG5	activation
PRKACA	CACNG4	activation
PRKACA	CACNA2D3	activation
PRKACA	CACNG8	activation
PRKACA	CACNG7	activation
PRKACA	CACNG6	activation
PRKACA	CACNA1C	activation
PRKACA	CACNA1D	activation
PRKACA	CACNA1F	activation
PRKACA	CACNA1S	activation
PRKACA	CACNA2D1	activation
PRKACA	CACNB1	activation
PRKACA	CACNB2	activation
PRKACA	CACNB3	activation
PRKACA	CACNB4	activation
PRKACA	CACNG1	activation
PRKACA	CACNA2D2	activation
PRKACA	CACNA2D4	activation
PRKACA	RYR2	activation
PRKACA	PLN	inhibition
PRKACB	CACNG3	activation
PRKACB	CACNG2	activation
PRKACB	CACNG5	activation
PRKACB	CACNG4	activation
PRKACB	CACNA2D3	activation
PRKACB	CACNG8	activation
PRKACB	CACNG7	activation
PRKACB	CACNG6	activation
PRKACB	CACNA1C	activation
PRKACB	CACNA1D	activation
PRKACB	CACNA1F	activation
PRKACB	CACNA1S	activation
PRKACB	CACNA2D1	activation
PRKACB	CACNB1	activation
PRKACB	CACNB2	activation
PRKACB	CACNB3	activation
PRKACB	CACNB4	activation
PRKACB	CACNG1	activation
PRKACB	CACNA2D2	activation
PRKACB	CACNA2D4	activation
PRKACB	RYR2	activation
PRKACB	PLN	inhibition
PRKACG	CACNG3	activation
PRKACG	CACNG2	activation
PRKACG	CACNG5	activation
PRKACG	CACNG4	activation
PRKACG	CACNA2D3	activation
PRKACG	CACNG8	activation
PRKACG	CACNG7	activation
PRKACG	CACNG6	activation
PRKACG	CACNA1C	activation
PRKACG	CACNA1D	activation
PRKACG	CACNA1F	activation
PRKACG	CACNA1S	activation
PRKACG	CACNA2D1	activation
PRKACG	CACNB1	activation
PRKACG	CACNB2	activation
PRKACG	CACNB3	activation
PRKACG	CACNB4	activation
PRKACG	CACNG1	activation
PRKACG	CACNA2D2	activation
PRKACG	CACNA2D4	activation
PRKACG	RYR2	activation
PRKACG	PLN	inhibition
PLN	ATP2A1	inhibition
PLN	ATP2A2	inhibition
PLN	ATP2A3	inhibition
